study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Barbier 2015,Cu10.4 Ni 1.6,Ni,10.4,0.65,0.8,427.0,700.0,182.0,193.0,2.78,2.7,0.86,0.9,,quartz tube.  973 K (3h). 793 K (30h),CP + quartz tube annealing  at 773 K (25h)+ SPS 60MPa 793 K (30min) in Ar,SPS,793.0,,98.0,,,,,Barbier. T.. Lemoine. P.. Gascoin. S.. Lebedev. O. I.. Kaltzoglou. A.. Vaqueiro. P.. Powell. A. v.. Smith. R. I.. & Guilmeau. E. (2015). Structural stability of the synthetic thermoelectric ternary and nickel-substituted tetrahedrite phases. Journal of Alloys and Compounds. 634. 253–262. https://doi.org/10.1016/j.jallcom.2015.02.045
Suekuni 2012,Cu10 Ni2,Ni,10.0,,0.15,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Sun 2018,Cu11 Ni Sb4 S12.5,Ni,11.0,0.76,0.95,450.0,723.0,165.0,178.0,4.0,3.7,0.9,0.91,,MA 450rpm 10h,SPS  723 K (10min). 50 MPa,SPS,723.0,,98.0,,,,,"Sun, F. H., Dong, J., Dey, S., Asfandiyar, Wu, C. F., Pan, Y., Tang, H., & Li, J. F. (2018). Enhanced thermoelectric performance of Cu12Sb4S13−δ tetrahedrite via nickel doping. Science China Materials, 61(9), 1209–1217. https://doi.org/10.1007/s40843-018-9241-x"
Sun 2018,Cu10 Ni2 Sb4 S12.5,Ni,10.0,0.61,0.75,450.0,723.0,254.0,262.0,1.0,0.9,0.6,0.62,,MA 450rpm 10h,SPS  723 K (10min). 50 MPa,SPS,723.0,,98.0,,,,,"Sun, F. H., Dong, J., Dey, S., Asfandiyar, Wu, C. F., Pan, Y., Tang, H., & Li, J. F. (2018). Enhanced thermoelectric performance of Cu12Sb4S13−δ tetrahedrite via nickel doping. Science China Materials, 61(9), 1209–1217. https://doi.org/10.1007/s40843-018-9241-x"
Sun 2018,Cu11.5 Ni 0.5 Sb4 S12.5,Ni,11.5,0.55,0.78,450.0,723.0,140.0,158.0,6.0,5.43,1.38,1.38,,MA 450rpm 10h,SPS  723 K (10min). 50 MPa,SPS,723.0,,98.0,,,,,"Sun, F. H., Dong, J., Dey, S., Asfandiyar, Wu, C. F., Pan, Y., Tang, H., & Li, J. F. (2018). Enhanced thermoelectric performance of Cu12Sb4S13−δ tetrahedrite via nickel doping. Science China Materials, 61(9), 1209–1217. https://doi.org/10.1007/s40843-018-9241-x"
Sun 2018,Cu10.5 Ni 1.5 Sb4 S12.5,Ni,10.5,0.74,0.95,450.0,723.0,220.0,237.0,1.7,1.6,0.7,0.71,,MA 450rpm 10h,SPS  723 K (10min). 50 MPa,SPS,724.0,,98.0,,,,,"Sun, F. H., Dong, J., Dey, S., Asfandiyar, Wu, C. F., Pan, Y., Tang, H., & Li, J. F. (2018). Enhanced thermoelectric performance of Cu12Sb4S13−δ tetrahedrite via nickel doping. Science China Materials, 61(9), 1209–1217. https://doi.org/10.1007/s40843-018-9241-x"
Tippireddy 2018,Cu11Ni,Ni,11.0,0.68,0.76,400.0,673.0,167.8,,5.0,,1.06,,,quartz ampule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,89.0,,,,,Tippireddy. S.. Chetty. R.. Naik. M. H.. Jain. M.. Chattopadhyay. K.. & Mallik. R. C. (2018). Electronic and Thermoelectric Properties of Transition Metal Substituted Tetrahedrites. Journal of Physical Chemistry C. 122(16). 8735–8749. https://doi.org/10.1021/acs.jpcc.7b12214
Heo 2014,Cu10 Ni2,Ni,10.0,,0.23,302.0,575.0,,,,0.47,,0.28,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Lu 2015,Cu10.5 Ni1.5 Sb4 S13,Ni,10.5,0.67,0.87,450.0,723.0,180.0,194.0,2.56,2.39,0.76,0.79,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (1 week)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,Secondary phases,Battiston. S.. Fanciulli. C.. Fiameni. S.. Famengo. A.. Fasolin. S.. & Fabrizio. M. (2017). One step synthesis and sintering of Ni and Zn substituted tetrahedrite as thermoelectric material. Journal of Alloys and Compounds. 702. 75–83. https://doi.org/10.1016/j.jallcom.2017.01.187
Pi 2020,Cu11NiSb4S13,Ni,11.0,0.36,0.46,450.0,723.0,265.0,263.0,0.4,0.5148,0.53,0.54,,MA 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,98.0,,,,,"Pi, J. H., Lee, G. E., & Kim, I. H. (2020). Thermal Stability, Mechanical Properties and Thermoelectric Performance of Cu11TrSb4S13 (Tr = Mn, Fe, Co, Ni, Cu, and Zn). Journal of Electronic Materials, 49(5), 2710–2718. https://doi.org/10.1007/s11664-019-07570-3"
Weller 2017 ZnNi,Cu10 Ni2 Sb4 S13,Ni,10.0,0.61,0.65,400.0,673.0,245.0,260.0,1.0,0.9,0.6,0.58,,steel jar. 1080rpm 1h,SPS 340C 30min 40MPa,SPS,613.0,,95.0,,,,,"Weller, D. P., & Morelli, D. T. (2017). Rapid synthesis of zinc and nickel co-doped tetrahedrite thermoelectrics by reactive spark plasma sintering and mechanical alloying. Journal of Alloys and Compounds, 710, 794–799. https://doi.org/10.1016/j.jallcom.2017.03.272"
