material_id,formula_pretty,nelements,nsites,crystal_system,density,formation_energy_per_atom,band_gap,energy_above_hull
mp-752897,Li3Fe7O12,3,22,Monoclinic,4.503496846875243,-1.7294864004545454,1.0391000000000004,0.10733880420454778
mp-752935,Li(FeO2)2,3,14,Monoclinic,3.9028856730185355,-1.6144964004761897,0.0,0.10972963557143078
mp-752950,Li4(FeO2)5,3,19,Triclinic,4.114706892788891,-1.810295860701754,0.33729999999999993,0.05332641428947493
mp-753008,Li13(FeO6)2,3,27,Triclinic,2.631704295298521,-1.8265476067901236,0.0,0.06663002722222355
mp-753083,Li3(FeO2)4,3,15,Triclinic,3.2120924589321818,-1.7193695953333323,0.0,0.12256882026666993
mp-753133,Li3(FeO3)2,3,22,Triclinic,3.488668109251662,-1.6580044354545462,0.2351000000000001,0.07820506506493263
mp-753154,Li(FeO2)3,3,20,Monoclinic,3.869561588166195,-1.5078416403333321,0.4218000000000002,0.12810011105000285
mp-753191,Li2(FeO2)3,3,22,Monoclinic,4.550713746930395,-1.5859716551515157,0.0,0.21851282150000095
mp-753255,Li8(FeO2)5,3,23,Triclinic,3.121076391584296,-1.8198378168115945,0.0,0.08274907097826123
mp-753682,FeO,2,8,Tetragonal,4.706689139685705,-1.3944173925000003,0.0,0.08710199499999938
mp-754360,Li3FeO4,3,8,Tetragonal,3.318163120345413,-1.7596842874999998,0.0,0.06132772625000005
mp-754765,FeO,2,8,Hexagonal,4.438798656564169,-1.0186485212499994,0.0,0.4628708662500003
mp-754802,Li5(FeO2)4,3,17,Trigonal,4.277698642469714,-1.8480506745098026,1.1427999999999998,0.07778711676470706
mp-754803,Li(FeO2)2,3,14,Trigonal,4.082623729255023,-1.640890576190476,0.0,0.0833354598571443
mp-754868,Li2FeO2,3,20,Trigonal,3.651644076341123,-1.825340239833333,2.7177,0.054660056000000345
mp-754977,LiFeO2,3,8,Hexagonal,4.072462090238454,-1.9061695495833328,1.7748999999999997,0.03876719812499996
mp-755094,Li2FeO2,3,20,Orthorhombic,3.1497156504431154,-1.8779757583333327,1.7893000000000001,0.002024537500000534
mp-755189,FeO,2,4,Hexagonal,5.536712078512856,-1.3680326549999995,1.048,0.11348673250000019
mp-755232,Li4FeO4,3,36,Triclinic,2.7102393165499765,-1.874669576759259,0.3040999999999999,0.06912784305555775
mp-755242,Li3(FeO3)2,3,22,Orthorhombic,3.694218060895063,-1.640811262272728,0.0,0.09539823824675064
mp-755709,LiFeO2,3,16,Cubic,4.3632447001277095,-1.943657715833333,1.6166999999999998,0.0012790318749997809
mp-755806,Li3Fe5O12,3,20,Triclinic,4.147021504444207,-1.4546424674999998,0.0,0.14572448307500263
mp-755894,Li2O,2,12,Orthorhombic,2.195570922607838,-1.9772382030555544,5.2421999999999995,0.0843597108333336
mp-756155,Li6FeO4,3,44,Tetragonal,2.5665936555802995,-1.9617434840909092,2.2934,0.025519845000000707
mp-756356,Li8FeO6,3,30,Triclinic,2.6784518542302975,-1.9643862257777773,0.3605999999999999,0.029306551666667957
mp-756381,LiFe2O3,3,6,Trigonal,4.681856294139424,-1.6963700880555546,0.0,0.09409420625000031
mp-756436,FeO,2,4,Monoclinic,5.5386282403244405,-1.3658911025,0.0,0.11562828499999966
mp-756480,Li3(FeO2)4,3,15,Trigonal,4.0507382069338895,-1.7817139086666658,0.6909999999999998,0.06022450693333603
mp-756497,LiFeO2,3,20,Triclinic,4.14365514893112,-1.9175608363333325,1.4355000000000002,0.027375911374999617
mp-756527,LiFeO2,3,16,Orthorhombic,4.259454585783686,-1.8673852614583328,0.3056000000000001,0.07755148624999997
mp-756644,Li8Fe7O15,3,30,Monoclinic,4.150654815837075,-1.3143784493888888,0.0,0.617162803333339
