trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
80,2020-05-19 14:00:00,15.4929,12.6903,12.6288,15.7866,23.7038,8.5437,0.25959,,True,False,900,3,14
81,2020-05-19 14:00:00,14.6811,12.0643,11.6661,14.8319,20.6014,13.1199,0.14932,144.313,False,True,900,3,14
82,2020-05-19 14:00:00,14.5968,12.0782,11.7345,14.7229,19.2744,10.196,0.13128,,True,False,900,3,14
83,2020-05-19 14:00:00,14.63,12.5575,12.2903,14.8899,10.3273,47.446,0.39258,,True,False,900,3,14
84,2020-05-19 14:00:00,12.0215,13.2395,11.0084,14.2289,4.7817,-15.7764,0.24298,,True,False,900,3,14
85,2020-05-19 14:00:00,16.5762,13.8257,12.9731,17.1346,19.6435,29.7279,0.58785,144.771,False,True,900,3,14
86,2020-05-19 14:00:00,16.0622,14.0481,8.0879,16.4835,13.5746,11.6853,1.83212,51.716,False,True,900,3,14
87,2020-05-19 14:00:00,15.4952,11.2683,10.6732,16.8102,23.9571,222.7964,0.8469,18.327,False,True,900,3,14
88,2020-05-19 14:00:00,0.5216,9.5232,0.0843,11.7452,-96.2289,18.4917,2.63389,,True,False,900,3,14
89,2020-05-19 14:00:00,7.5244,4.8294,0.632,16.8504,8.5541,534.4996,2.38723,0.111,False,True,900,3,14
90,2020-05-19 14:00:00,0.1266,0.1792,0.0417,15.934,43.2377,693.4282,2.60375,,True,False,900,3,14
91,2020-06-04 17:20:00,16.5141,12.538,9.695,19.408,29.8189,111.8056,0.49087,0.0,False,True,900,4,19
92,2020-06-04 17:20:00,19.0696,10.7567,8.3055,19.1445,50.3641,140.0112,0.62658,30.929,False,True,900,4,19
93,2020-06-04 17:20:00,18.5657,9.9549,7.7246,18.5953,52.5453,139.3533,0.61731,29.982,False,True,900,4,19
94,2020-06-04 17:20:00,14.0623,9.8328,7.6159,14.157,25.967,44.3176,0.1942,64.974,False,True,900,4,19
95,2020-06-04 17:20:00,17.0973,12.0021,9.2076,17.3607,18.2211,119.2784,0.36611,14.805,False,True,900,4,19
96,2020-06-04 17:20:00,18.9278,9.4592,7.3382,18.968,46.6898,262.6041,0.93795,9.359,False,True,900,4,19
97,2020-06-04 17:20:00,17.2852,12.8288,10.0038,17.3581,19.5124,100.697,0.39817,59.927,False,True,900,4,19
98,2020-06-04 17:20:00,15.346,12.8289,10.0736,15.8568,16.8273,60.7798,0.30887,140.87,False,True,900,4,19
99,2020-06-04 17:20:00,16.8387,12.0835,9.4248,16.9703,18.8512,98.8556,0.40051,37.116,False,True,900,4,19
100,2020-06-04 17:20:00,13.6091,14.3819,11.3516,14.5139,-19.7859,14.2323,0.36176,,True,False,900,4,19
101,2020-06-04 17:20:00,13.3632,15.0197,11.3991,15.0477,-17.9532,-3.1396,0.37252,,True,False,900,4,19
102,2020-06-04 17:20:00,16.7906,16.2676,13.0311,17.147,-3.9892,-5.2034,0.29721,,True,False,900,4,19
103,2020-06-04 17:20:00,15.8007,16.2993,12.9905,16.4213,-14.2652,0.4037,0.41082,,True,False,900,4,19
104,2020-06-04 17:20:00,16.4224,15.5217,12.358,16.7312,3.0519,16.1682,0.18698,,True,False,900,4,19
105,2020-06-04 17:20:00,0.7791,14.295,0.6063,14.9825,-1.963,-141.7778,0.98284,,True,False,900,4,19
106,2020-06-04 17:20:00,14.4462,13.7846,11.0344,15.0421,-12.5195,22.5821,0.35459,,True,False,900,4,19
107,2020-06-04 17:20:00,14.7617,13.9986,11.1746,15.2202,-4.7854,3.6858,0.26238,,True,False,900,4,19
108,2020-06-04 17:20:00,14.4403,13.8541,11.1085,14.8564,-3.3063,-10.422,0.26204,,True,False,900,4,19
109,2020-06-04 17:20:00,13.2444,11.9814,9.5993,13.3252,5.096,16.6555,0.1756,,True,False,900,4,19
110,2020-06-23 13:20:00,5.0857,15.3391,4.884,15.706,-27.9582,-274.9734,1.27872,,True,False,900,5,25
111,2020-06-23 13:20:00,16.7919,15.4737,12.1995,17.348,1.2236,-21.7331,0.32781,,True,False,900,5,25
