eid,Al_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Sc_frac,Si_frac,Sn_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,condition,ph1,ph2,ph3,grain_size_param_1,grain_size_param_2,flag_1,flag_2,flag_3,YM_GPa,YM_err,YS_MPa,YS_err,UTS_MPa,UTS_err,DAR_pct,DAR_err,test_mode,HV,HV_err,Mo_equivalent,Mo_equivalent_class,ref_doi,ref_key,comments
Ti-29Nb-13Ta-6Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2052205220522052,0.0,0.0,0.0,0.0332033203320332,0.047204720472047206,0.7143714371437144,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,27.0,0,0,0,69.0,,501.0,,523.0,,18.0,,tension,,,10.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. 
Ti-11Nb-6Fe,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0604,0.0,0.0,0.0,0.0,0.0,0.8848,0.0,0.0,0.0,As-cast,Ti-beta,Ti-alpha-dp,,,,0,0,0,89.0,,1137.0,,,,-36.0,,compression,357.0,,20.47,meta,10.1016/j.matdes.2016.02.094,haghighi2016,Elastic modulus from Table 2. Plastic strain from compression tests (36%). 
Ti-11Nb-9Fe,0.0,0.0,0.0,0.0826,0.0,0.0,0.0,0.0607,0.0,0.0,0.0,0.0,0.0,0.8567,0.0,0.0,0.0,As-cast,Ti-beta,,,,,0,0,0,82.0,,1078.0,,,,-38.0,,compression,334.0,,29.18,meta,10.1016/j.matdes.2016.02.094,haghighi2016,Elastic modulus from Table 2. Plastic strain from compression tests (36%). 
Ti-5Al-5Mo-5V-3Cr,0.1014,0.0224,0.0,0.0008,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.8062,0.0445,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,920.0,160.0,1,0,0,115.0,6.0,636.0,20.0,,,13.0,2.0,tension,314.0,16.0,6.67,near,10.1016/j.matdes.2014.04.015,shekhar2014,"Hardness and elastic modulus not reported, data taken from (PT) http://repositorio.unicamp.br/jspui/handle/REPOSIP/263158"
Ti-10Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.9461,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1370.0,200.0,1,0,0,93.0,,731.0,,,,47.0,,tension,,,10.25,meta,10.1016/j.matchar.2011.07.010,zhou2011,Average grain size estimated from Fig. 2
Ti-20Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.1076,0.0,0.0,0.0,0.0,0.0,0.0,0.8924,0.0,0.0,0.0,ST-WQ,Ti-beta,,,1300.0,180.0,1,0,0,75.0,,823.0,,,,15.0,,tension,,,19.46,meta,10.1016/j.matchar.2011.07.010,zhou2011,Average grain size estimated from Fig. 2
Ti-10Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.9475,0.0,0.0,0.0,PM-FC,Ti-beta,Ti-alpha,,,40.0,0,0,0,77.6,1.3,862.0,,916.0,,14.8,0.3,tension,,,10.0,near,10.1016/j.bioactmat.2020.04.012,xu2020,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.
Ti-10Mo-1Cu,0.0,0.0,0.007999200079992,0.0,0.0,0.0,0.0526947305269473,0.0,0.0,0.0,0.0,0.0,0.0,0.9393060693930607,0.0,0.0,0.0,PM-FC,Ti-beta,Ti-alpha,Ti2Cu,,40.0,0,0,0,73.5,1.6,972.0,,1002.3,,8.2,0.1,tension,,,10.01,meta,10.1016/j.bioactmat.2020.04.012,xu2020,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.
Ti-10Mo-3Cu,0.0,0.0,0.024,0.0,0.0,0.0,0.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.9231,0.0,0.0,0.0,PM-FC,Ti-beta,Ti-alpha,Ti2Cu,,40.0,0,0,0,71.1,0.9,1062.0,,1098.1,,5.2,0.2,tension,,,9.99,near,10.1016/j.bioactmat.2020.04.012,xu2020,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.
Ti-10Mo-5Cu,0.0,0.0,0.0402,0.0,0.0,0.0,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.9066,0.0,0.0,0.0,PM-FC,Ti-beta,Ti-alpha,Ti2Cu,,40.0,0,1,0,74.9,1.5,1152.0,,1162.2,,1.97,0.2,tension,,,10.0,near,10.1016/j.bioactmat.2020.04.012,xu2020,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.
