symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
V,23,135,8.35,d,6,87,0.525,460,17.5,5,3.02,BCC,Vanadium,4,8,0.489,30.7,207,153,134,1.63,859.4,836.8,515.5,832,120,0.0025,50.9415,,0,252,first series transition metal,litophile,122,134,112,106,1830,47,54,54,24.89
Cr,24,140,7.23,d,7.15,83,0.666,342,21,6,2.88,BCC,Chromium,4,8,0.449,93.9,206,139,122,1.66,791.3,768.4,397.48,602,102,0.0003,51.9961,,0,233,first series transition metal,litophile,119,128,111,103,1797,51,57,55,23.35
Mn,25,140,7.39,d,7.3,68,,221,13.4,7,8.89,CUB,Manganese,4,8,0.479,,205,150,119,1.55,797.3,774.4,283.3,552,950,0.0002,54.938044,1,0,242,first series transition metal,siderophile,118,127,105,103,1774,55,60,72,26.32
Fe,26,140,7.1,d,7.87,62,0.151,340,13.8,8,2.87,BCC,Iron,4,8,0.449,80.4,204,142,116,1.83,754,731.1,415.5,482,56300,0.002,55.845,,0,237,major,siderophile,117,126,109,102,,59,61,71,25.1
Co,27,135,6.7,d,8.86,55,0.66225646,389.1,15.48,9,2.51,HEX,Cobalt,4,8,0.421,100,200,138,111,1.88,742.7,719.8,426.7,408,25,2.00E-05,58.933194,1,0,233,first series transition metal,siderophile,116,125,103,96,1739,63,64,70,24.81
Ni,28,135,6.6,d,8.9,49,1.156,378.6,17.61,10,3.52,FCC,Nickel,4,8,0.444,90.9,197,124,110,1.91,737,714.1,430.1,373,84,0.00056,58.6934,,0,229,first series transition metal,siderophile,115,124,101,101,1751,67,67,69,26.07
Cu,29,135,7.1,d,8.96,46.5,1.235,304.6,13.01,11,3.61,FCC,Copper,4,8,0.385,401,196,132,112,1.9,655.3,632.4,337.4,253,60,0.00025,63.546,,0,217,first series transition metal,chalcophile,118,128,115,120,,71,72,68,24.44
Zn,30,135,9.2,d,7.134,38.67,,114.8,7.28,12,2.66,HEX,Zinc,4,8,0.388,116,201,122,118,1.65,608.6,586,130.4,284,70,0.0049,65.38,,0,222,first series transition metal,chalcophile,121,134,120,,,77,76,74,25.39
Ga,31,130,11.8,p,5.91,50,0.43,270.3,5.59,13,4.51,ORC,Gallium,4,7,0.373,28.1,187,122,124,1.81,,,271.96,498,19,3.00E-05,69.723,,0,233,,chalcophile,125,140,117,121,1875,83,81,79,26.03
Ge,32,125,13.6,p,5.3234,40,1.232712,328,36.8,14,5.66,DIA,Germanium,4,5,0.32,60.2,211,120,121,2.01,,,372,354,1.5,5.00E-05,72.63,,0,234,,chalcophile,124,144,111,114,1886,89,84,84,23.222
As,33,115,13.1,p,5.75,30,0.804,32.4,,15,4.13,RHL,Arsenic,4,5,0.329,,185,119,121,2.18,,,302.5,246,1.8,0.0037,74.921595,1,0,231,semi-volatile,chalcophile,121,148,114,106,,95,89,90,24.64
Se,34,115,16.5,p,4.809,28.9,2.02067,59.7,5.23,16,4.36,HEX,Selenium,4,1,0.321,0.52,190,120,116,2.55,,,227.2,210,0.05,0.0002,78.971,,0,224,semi-volatile,chalcophile,117,140,107,107,1818,101,93,95,25.363
Br,35,115,23.5,p,3.1028,21,3.3635882,29.56,10.57,17,6.67,ORC,Bromine,4,6,0.474,0.005,185,120,114,2.96,554.4,531.2,111.85,162,2.4,67.3,79.904,,0,219,semi-volatile,litophile,,117,109,110,1826,108,98,100,75.69
Kr,36,,32.2,p,0.003425,16.78,,9.05,,18,5.72,FCC,Krypton,4,2,0.248,0.0095,202,116,117,,424.6,402.4,,130,0.0001,0.00021,83.798,,0,212,volatile,atmophile,,,121,108,1898,115,4,4,20.786
Rb,37,235,55.9,s,1.53,319.8,0.48592,75.8,2.2,1,5.59,BCC,Rubidium,5,3,0.363,58.2,303,220,210,0.82,,,80.9,4769,90,0.12,85.4678,,0,240,alkali metal,litophile,216,248,202,,1861,4,9,9,31.06
Sr,38,200,33.7,s,2.64,197.2,0.048,144,9.2,2,6.08,FCC,Strontium,5,4,0.306,,249,195,185,0.95,,,164,3175,370,7.9,87.62,,0,279,alkaline earth metal,litophile,191,215,157,139,1790,8,15,15,26.79
Y,39,180,19.8,d,4.47,162,0.307,367,11.5,3,3.65,HEX,Yttrium,5,8,0.298,,232,190,163,1.22,967,945.9,424.7,,33,1.30E-05,88.90584,1,0,274,rare earth & related,litophile,162,180,130,124,1789,12,19,21,26.53
Zr,40,155,14.1,d,6.52,112,0.426,567,19.2,4,3.23,HEX,Zirconium,5,8,0.278,22.7,223,175,154,1.33,,,610,,165,3.00E-05,91.224,,0,269,high field strength,litophile,145,160,127,121,1789,44,49,49,25.36
Nb,41,145,10.8,d,8.57,98,0.917406,680,26.8,5,3.3,BCC,Niobium,5,8,0.265,53.7,218,164,147,1.6,,,733,,20,1.00E-05,92.90637,1,0,251,high field strength,litophile,134,146,125,116,1801,48,52,53,24.6
Mo,42,145,9.4,d,10.2,87,0.748,590,28,6,3.15,BCC,Molybdenum,5,8,0.251,,217,154,138,2.16,,,658.98,,1.2,0.01,95.95,,0,244,,siderophile,130,139,121,113,1778,52,55,56,24.06
Tc,43,135,8.5,d,11,79,0.55,585,23.8,7,2.74,HEX,Technetium,5,8,,50.6,216,147,128,2.1,,,678,,,,97.90721,,1,252,,synthetic,127,136,120,110,1937,56,58,59,
Ru,44,130,8.3,d,12.1,72,1.05,,25.5,8,2.7,HEX,Ruthenium,5,8,0.238,117,213,146,125,2.2,774,751.4,650.6,,0.001,7.00E-07,101.07,,0,237,noble metal,siderophile,125,134,114,103,1844,60,63,61,24.06
Rh,45,135,8.3,d,12.4,66,1.137,494,21.8,9,3.8,FCC,Rhodium,5,8,0.243,150,210,142,125,2.28,768,745.4,556,,0.001,,102.9055,1,0,233,noble metal,siderophile,125,134,110,106,1803,64,66,63,24.98
Pd,46,140,8.9,d,12,26.14,0.562,372.4,17.24,10,3.89,FCC,Palladium,5,8,0.246,71.8,210,139,120,2.2,696,673.4,376.6,,0.015,,106.42,,0,215,noble metal,siderophile,128,137,117,112,1803,68,69,65,25.98
Ag,47,160,10.3,d,10.5,55,1.302,254.1,11.95,11,4.09,FCC,Silver,5,8,0.235,429,211,145,128,1.93,,,284.9,,0.075,4.00E-05,107.8682,,0,225,,chalcophile,134,144,139,137,,72,71,67,25.35
